-10.018,-10.028,-10.052,-10.09,-10.14,-10.199,-10.266,-10.34,-10.417,-10.496,-10.576,-10.655,-10.733,-10.808,-10.879,-10.946,-11.008,-11.064,-11.115,-11.16,-11.198,-11.229,-11.254,-11.272,-11.282,-11.286,-11.286,-11.285,-11.281,-11.275,-11.267,-11.256,-11.243,-11.228,-11.21,-11.191,-11.168,-11.144,-11.117,-11.088,-11.058,-11.024,-10.989,-10.952,-10.913,-10.872,-10.829,-10.785,-10.738,-10.691,-10.641,-10.59,-10.538,-10.485,-10.431,-10.376,-10.32,-10.264,-10.208,-10.151,-10.095,-10.039,-9.9838,-9.9298,-9.8772,-9.8263,-9.7777,-9.7318,-9.6888,-9.6494,-9.6138,-9.5827,-9.5563,-9.535,-9.5192,-9.509,-9.5046,-9.4721,-9.475,-9.4773,-9.4792,-9.4809,-9.4826,-9.4846,-9.4873,-9.4911,-9.4964,-9.5038,-9.5137,-9.5266,-9.5344,-9.5344,-9.5528,-9.5755,-9.6026,-9.6346,-9.6715,-9.7134,-9.7602,-9.8117,-9.8676,-9.9274,-9.9906,-10.057,-10.125,-10.196,-10.267,-10.339,-10.411,-10.482,-10.553,-10.621,-10.688,-10.753,-10.815,-10.874,-10.93,-10.983,-11.032,-11.077,-11.118,-11.154,-11.187,-11.215,-11.238,-11.257,-11.271,-11.281,-11.285,-11.286
-5.2573,-5.24,-5.1918,-5.1137,-5.0074,-4.8748,-4.7181,-4.5394,-4.3408,-4.1243,-3.8918,-3.6449,-3.3853,-3.1143,-2.8334,-2.5442,-2.248,-1.9467,-1.6421,-1.3368,-1.0346,-0.74074,-0.46463,-0.22312,-0.046828,0.00028841,0.00028841,-0.015649,-0.068343,-0.15164,-0.25702,-0.37785,-0.50931,-0.64799,-0.79156,-0.93836,-1.0872,-1.2374,-1.3881,-1.5391,-1.6898,-1.8401,-1.9897,-2.1384,-2.2861,-2.4326,-2.5777,-2.7214,-2.8636,-3.0041,-3.1427,-3.2795,-3.4142,-3.5468,-3.677,-3.8046,-3.9297,-4.0518,-4.1708,-4.2866,-4.3988,-4.5071,-4.6113,-4.711,-4.8058,-4.8955,-4.9796,-5.0576,-5.1291,-5.1938,-5.251,-5.3005,-5.3418,-5.3745,-5.3983,-5.413,-5.4185,-5.3535,-5.358,-5.3593,-5.3577,-5.3532,-5.3461,-5.3365,-5.3246,-5.3107,-5.2949,-5.2773,-5.2579,-5.2366,-5.2252,-5.2252,-5.2004,-5.1728,-5.1415,-5.1058,-5.0647,-5.0173,-4.9627,-4.9001,-4.8289,-4.7486,-4.6588,-4.5592,-4.4498,-4.3305,-4.2016,-4.0631,-3.9153,-3.7585,-3.5929,-3.4188,-3.2366,-3.0467,-2.8494,-2.6453,-2.4347,-2.2182,-1.9966,-1.7705,-1.5411,-1.3096,-1.0778,-0.84854,-0.62565,-0.41554,-0.22868,-0.082339,-0.0056071,0.00028841
-0.76576,-0.76541,-0.76022,-0.75025,-0.73557,-0.71631,-0.6926,-0.66464,-0.63263,-0.59684,-0.5576,-0.51529,-0.47036,-0.42334,-0.37485,-0.32558,-0.27635,-0.22806,-0.1817,-0.13833,-0.09907,-0.065022,-0.037241,-0.016653,-0.0039872,0.00028841,0.00028841,-0.0030468,-0.012996,-0.029394,-0.051974,-0.080385,-0.11421,-0.15297,-0.19618,-0.24332,-0.29388,-0.34735,-0.40325,-0.46113,-0.52055,-0.58114,-0.64251,-0.70433,-0.76631,-0.82816,-0.88964,-0.95052,-1.0106,-1.0697,-1.1276,-1.1842,-1.2393,-1.2929,-1.3448,-1.395,-1.4432,-1.4895,-1.5338,-1.5759,-1.6159,-1.6537,-1.6892,-1.7224,-1.7532,-1.7816,-1.8076,-1.8312,-1.8523,-1.8709,-1.8869,-1.9004,-1.9114,-1.9198,-1.9256,-1.9288,-1.9294,-1.8943,-1.8951,-1.8914,-1.9301,-2.0275,-2.1346,-2.2467,-2.3593,-2.4687,-2.5718,-2.6659,-2.7489,-2.819,-2.8489,-2.8489,-2.8976,-2.9312,-2.9495,-2.9524,-2.9406,-2.9147,-2.8753,-2.8235,-2.7603,-2.6865,-2.6031,-2.511,-2.4111,-2.3042,-2.1912,-2.0728,-1.9498,-1.8231,-1.6935,-1.5618,-1.4289,-1.2957,-1.1634,-1.0328,-0.90513,-0.78153,-0.66315,-0.55118,-0.44677,-0.35103,-0.26498,-0.18955,-0.12552,-0.073509,-0.033947,-0.0067713,4.6734e-05,0.00028841
-0.76576,-0.76541,-0.76022,-0.75025,-0.73557,-0.71631,-0.6926,-0.66464,-0.63263,-0.59684,-0.5576,-0.51529,-0.47036,-0.42334,-0.37485,-0.32558,-0.27635,-0.22806,-0.1817,-0.13833,-0.09907,-0.065022,-0.037241,-0.016653,-0.0039872,0.020345,0.020345,0.01376,0.0016487,-0.015426,-0.038305,-0.066899,-0.10086,-0.13975,-0.18308,-0.23034,-0.28101,-0.33459,-0.39061,-0.4486,-0.50814,-0.56883,-0.63031,-0.69225,-0.75433,-0.81629,-0.87787,-0.93885,-0.99901,-1.0582,-1.1162,-1.1729,-1.2281,-1.2818,-1.3338,-1.384,-1.4323,-1.4787,-1.523,-1.5652,-1.6053,-1.6432,-1.6787,-1.712,-1.7429,-1.7714,-1.7975,-1.8211,-1.8422,-1.8609,-1.877,-1.8905,-1.9015,-1.91,-1.9159,-1.9191,-1.9198,-1.7473,-1.7854,-1.8477,-1.8833,-1.8707,-1.8538,-1.8326,-1.8072,-1.7777,-1.7443,-1.707,-1.666,-1.6215,-1.598,-1.598,-1.5485,-1.496,-1.4407,-1.3829,-1.3228,-1.2607,-1.197,-1.1319,-1.0659,-0.99923,-0.93238,-0.86571,-0.79964,-0.73457,-0.67089,-0.60899,-0.54923,-0.49196,-0.43747,-0.38602,-0.33781,-0.293,-0.2517,-0.21393,-0.1797,-0.14894,-0.12157,-0.097448,-0.076425,-0.058328,-0.042983,-0.030213,-0.019856,-0.011762,-0.0058069,-0.0018931,0.013489,0.020345
2.0047,2.0066,2.0156,2.0317,2.0548,2.0845,2.1207,2.163,2.2109,2.2637,2.3203,2.3796,2.4395,2.4975,2.5498,2.5911,2.6142,2.6098,2.5677,2.4799,2.3455,2.1729,1.979,1.7895,1.6417,1.5835,1.5835,1.6036,1.6609,1.7491,1.8604,1.9885,2.1283,2.2762,2.4295,2.5862,2.7444,2.9025,3.0588,3.211,3.355,3.4759,3.5026,3.4428,3.3683,3.2916,3.2154,3.1406,3.0678,2.9971,2.9288,2.8631,2.8002,2.7402,2.6832,2.6292,2.5785,2.531,2.4868,2.446,2.4086,2.3747,2.3444,2.3176,2.2944,2.2748,2.2587,2.2462,2.2371,2.2314,2.2288,2.229,2.2317,2.2359,2.2408,2.2451,2.2475,2.3296,2.3407,2.3604,2.3836,2.409,2.437,2.4683,2.5037,2.5432,2.5871,2.6354,2.6878,2.7444,2.7741,2.7741,2.8363,2.9018,2.9703,3.0411,3.1138,3.1876,3.2616,3.3348,3.406,3.4738,3.5365,3.5924,3.6396,3.6763,3.7009,3.712,3.7091,3.6919,3.6612,3.6176,3.5626,3.4971,3.4221,3.3383,3.2456,3.144,3.0325,2.9105,2.7769,2.6311,2.4735,2.306,2.1324,1.9596,1.7992,1.6691,1.5936,1.5835
5.0908,5.0911,5.0972,5.1088,5.1252,5.1453,5.1678,5.1911,5.213,5.2309,5.2419,5.2429,5.231,5.2042,5.1616,5.1042,5.0348,4.9571,4.8626,4.7117,4.613,4.5591,4.5371,4.5331,4.5294,4.5208,4.5208,4.5173,4.5014,4.473,4.4339,4.3853,4.3286,4.2651,4.1959,4.1222,4.0452,3.9659,3.8854,3.805,3.728,3.6675,3.6929,3.7939,3.8963,3.9843,4.0525,4.0981,4.1197,4.118,4.0951,4.054,3.9982,3.9311,3.8557,3.7746,3.6898,3.6029,3.5153,3.4281,3.342,3.2578,3.1759,3.0969,3.0211,2.9489,2.8804,2.816,2.7559,2.7004,2.6498,2.6046,2.5652,2.5324,2.5074,2.4914,2.4857,2.6162,2.6574,2.7421,2.8713,3.0417,3.2476,3.4838,3.7456,4.0291,4.3309,4.6482,4.9779,5.3168,5.4883,5.4883,5.8312,6.1644,6.464,6.6792,6.7472,6.6813,6.5497,6.3937,6.2304,6.0669,5.9066,5.7515,5.6026,5.4608,5.3264,5.2002,5.0823,4.9732,4.8731,4.7824,4.7012,4.6297,4.5682,4.5167,4.4754,4.4443,4.4232,4.4119,4.4096,4.4156,4.4285,4.4465,4.4675,4.4888,4.5078,4.521,4.5215,4.5208
5.0908,5.0911,5.0972,5.1088,5.1252,5.1453,5.1678,5.1911,5.213,5.2309,5.2419,5.2429,5.231,5.2042,5.1616,5.1042,5.0348,4.9571,4.8756,4.7948,4.719,4.6518,4.5963,4.5549,4.5294,4.5208,4.5208,4.5263,4.5429,4.5705,4.6086,4.657,4.7152,4.7828,4.8592,4.9439,5.0364,5.1361,5.2426,5.3554,5.474,5.5981,5.7271,5.8608,5.9988,6.1409,6.2868,6.4361,6.5888,6.7445,6.9031,7.0187,7.1477,7.293,7.4517,7.6214,7.8001,7.9861,8.1782,8.3753,8.5766,8.7813,8.9854,9.1711,9.3584,9.5472,9.7375,9.9291,10.122,10.316,10.51,10.705,10.9,11.091,11.277,11.446,11.563,11.662,11.447,11.159,10.867,10.576,10.289,10.007,9.7298,9.4589,9.1945,8.9372,8.688,8.4479,8.3319,8.3319,8.1098,7.9054,7.7283,7.5909,7.4801,7.356,7.2155,7.0714,6.9315,6.8001,6.6443,6.49,6.3414,6.1984,6.0612,5.9295,5.8036,5.6833,5.5687,5.4598,5.3567,5.2594,5.168,5.0825,5.0029,4.9292,4.8616,4.8,4.7445,4.695,4.6517,4.6146,4.5836,4.5588,4.5402,4.5278,4.5221,4.5208
8.8292,8.8327,8.8446,8.8617,8.8745,8.8499,8.6976,8.3961,8.0381,7.6673,7.2969,6.932,6.5759,6.2316,5.9026,5.5938,5.3118,5.0649,4.8756,4.7948,4.719,4.6518,4.5963,4.5549,4.5357,4.5374,4.5374,4.5405,4.5552,4.5822,4.6201,4.6685,4.7268,4.7944,4.8709,4.9558,5.0484,5.1483,5.2549,5.3679,5.4867,5.6108,5.7401,5.8739,6.0121,6.1544,6.3004,6.4499,6.6027,6.7583,6.9073,7.0645,7.2284,7.3948,7.5635,7.7344,7.9074,8.0825,8.2594,8.4383,8.6189,8.8013,8.9884,9.1867,9.3751,9.5644,9.755,9.9469,10.14,10.334,10.529,10.725,10.919,11.112,11.299,11.468,11.586,11.714,11.522,11.313,11.068,10.812,10.554,10.297,10.043,9.7929,9.5479,9.308,9.0735,8.8448,8.7326,8.7326,8.5126,8.2986,8.0907,7.8888,7.693,7.5034,7.3197,7.142,6.9703,6.8044,6.6798,6.5724,6.4795,6.402,6.3405,6.2945,6.2628,6.2426,6.2299,6.2193,6.2041,6.1766,6.1287,6.0539,5.9491,5.8159,5.6607,5.4927,5.3217,5.1565,5.0041,4.8695,4.756,4.665,4.5973,4.5536,4.5379,4.5374
11.177,10.941,10.588,10.204,9.8261,9.4963,9.3087,9.2683,9.009,8.7734,8.565,8.3872,8.2433,8.1352,8.0635,8.0269,8.0222,8.0445,8.088,8.1464,8.2129,8.2807,8.343,8.3459,8.2633,8.2352,8.2352,8.2445,8.2721,8.3128,8.2859,8.21,8.1191,8.0167,7.905,7.7862,7.6628,7.5369,7.4109,7.2871,7.1682,7.0568,6.9559,6.869,6.7995,6.7513,6.7278,6.7316,6.7638,6.8242,6.9202,7.0796,7.2435,7.41,7.5789,7.75,7.9232,8.0985,8.2757,8.4548,8.6357,8.8185,9.0037,9.2019,9.4138,9.6283,9.8447,10.063,10.282,10.503,10.724,10.947,11.17,11.394,11.617,11.837,11.933,12.042,11.773,11.483,11.197,10.915,10.638,10.367,10.101,9.8414,9.5885,9.3427,9.105,8.8762,8.7658,8.7658,8.5547,8.3616,8.2002,8.1089,8.1635,8.3071,8.1537,8.0098,7.8761,7.7531,7.6413,7.5412,7.4532,7.3779,7.3154,7.2662,7.2305,7.2084,7.2001,7.2054,7.2242,7.2563,7.3012,7.3583,7.4269,7.5059,7.5941,7.69,7.7917,7.8969,8.0028,8.1061,8.2028,8.2884,8.3487,8.277,8.2399,8.2352
11.213,11.036,10.766,10.462,10.15,9.8432,9.5477,9.2683,9.009,8.7734,8.565,8.3872,8.2433,8.1352,8.0635,8.0269,8.0222,8.0445,8.088,8.1464,8.2129,8.2807,8.343,8.3932,8.426,8.4373,8.4373,8.428,8.4007,8.3605,8.3887,8.467,8.4978,8.5196,8.5448,8.5733,8.6052,8.6404,8.6789,8.7208,8.7659,8.8144,8.8663,8.9214,8.9797,9.0414,9.1063,9.1745,9.2459,9.3205,9.3983,9.4792,9.5633,9.6504,9.7406,9.8338,9.93,10.029,10.131,10.235,10.342,10.452,10.564,10.677,10.793,10.91,11.027,11.146,11.263,11.379,11.492,11.599,11.699,11.787,11.859,11.907,12.028,12.063,11.813,11.61,11.414,11.211,11.001,10.786,10.569,10.351,10.133,9.9186,9.7072,9.5,9.3983,9.3983,9.1991,9.006,8.8197,8.6407,8.4697,8.3905,8.725,9.1129,9.529,9.9615,10.403,10.845,11.272,11.595,11.425,11.094,10.741,10.385,10.037,9.7051,9.3967,9.1196,8.8812,8.6876,8.5413,8.4405,8.3792,8.3486,8.3398,8.3452,8.3586,8.3754,8.3922,8.4042,8.3584,8.4081,8.434,8.4373
